date,confirmed_cases_per_day,active_cases_per_day,cured_per_day,deaths_per_day,hospital_beds_per_thousand,cases_per_million,deaths_per_million,actives_per_million
2021-10-01,18645,-855.0,19299.0,201.0,0.53,13.510826634076238,0.1456517110994542,-0.6195632487066336
2021-11-01,16311,-809.0,16959.0,161.0,0.53,11.81952766041392,0.11666629595528423,-0.5862300212908381
2021-12-01,12584,-5968.0,18385.0,167.0,0.53,9.11881160435588,0.12101410822690972,-4.324623939510163
2021-01-13,15968,-2051.0,17817.0,202.0,0.53,11.570977725552662,0.14637634647805847,-1.4862271615173164
2021-01-14,16946,-904.0,17652.0,198.0,0.53,12.279671125827619,0.1434778049636415,-0.6550703822582419
2021-01-15,15590,-576.0,15975.0,191.0,0.53,11.297065552440255,0.13840535731341172,-0.41738997807604794
2021-01-16,15158,-1994.0,16977.0,175.0,0.53,10.98402306888322,0.12681119125574372,-1.4449229449368743
2021-01-17,15144,-2207.0,17170.0,181.0,0.53,10.97387817358276,0.13115900352736923,-1.5992702805795795
2021-01-18,13788,-814.0,14457.0,145.0,0.53,9.991272600195398,0.10507212989761623,-0.5898531981838594
2021-01-19,10064,-7484.0,17411.0,137.0,0.53,7.2927304502731705,0.09927504686878223,-5.423171173474206
2021-01-20,13823,-3327.0,16988.0,162.0,0.53,10.016634838446546,0.11739093133388848,-2.4108619046163393
2021-01-21,15223,-4893.0,19965.0,151.0,0.53,11.031124368492495,0.10941994216924172,-3.545640907510595
2021-01-22,14545,-3620.0,18002.0,163.0,0.53,10.539821581798815,0.11811556671249272,-2.6231800705473844
2021-01-23,14256,-3026.0,17130.0,152.0,0.53,10.330401957382186,0.11014457754784598,-2.1927466556564603
2021-01-24,14849,-1254.0,15948.0,155.0,0.53,10.760110736894505,0.11231848368365872,-0.9086927647697294
2021-01-25,13203,-226.0,13298.0,131.0,0.53,9.567360903711911,0.09492723459715673,-0.16376759556456047
2021-01-27,21791,-7684.0,29221.0,254.0,0.53,15.79052953516521,0.18405738616547948,-5.568098249195056
2021-01-28,11666,-2758.0,14301.0,123.0,0.53,8.453596326797179,0.08913015156832274,-1.9985443741905211
2021-01-29,18855,-2054.0,20746.0,163.0,0.53,13.663000063583132,0.11811556671249272,-1.4884010676531292
2021-01-30,13083,-1862.0,14808.0,137.0,0.53,9.4804046582794,0.09927504686878223,-1.3492710749611132
2021-01-31,13052,-1040.0,13965.0,127.0,0.53,9.45794096154267,0.09202869308273974,-0.7536207937484198
2021-01-02,11427,-549.0,11858.0,118.0,0.53,8.280408471310762,0.08550697467530148,-0.39782482285373316
2021-02-02,8635,-4882.0,13423.0,94.0,0.53,6.257226494247698,0.06811572558879948,-3.537669918345948
2021-03-02,11039,-3296.0,14225.0,110.0,0.53,7.999249944412314,0.07970989164646748,-2.3883982078796078
2021-04-02,12899,-5032.0,17824.0,107.0,0.53,9.34707174861622,0.07753598551065474,-3.6463652251365852
2021-05-02,12408,-3565.0,15853.0,120.0,0.53,8.991275777721532,0.08695624543250999,-2.583325124724151
2021-06-02,11713,-2870.0,14488.0,95.0,0.53,8.487654189591579,0.06884036096740374,-2.079703536594197
2021-07-02,12059,176.0,11805.0,78.0,0.53,8.738378030588649,0.05652155953113149,0.12753582663434798
2021-08-02,11831,-157.0,11904.0,84.0,0.53,8.57316116426688,0.06086937180275699,-0.11376775444086723
2021-09-02,9110,-4984.0,14016.0,78.0,0.53,6.601428299084716,0.05652155953113149,-3.611582726963581
2021-10-02,11067,-2114.0,13087.0,94.0,0.53,8.019539735013232,0.06811572558879948,-1.5318791903693842
2021-11-02,12923,1051.0,11764.0,108.0,0.53,9.364462997702722,0.07826062088925899,0.7615917829130666
2021-12-02,9309,-6636.0,15858.0,87.0,0.53,6.745630739426962,0.06304327793856974,-4.808680372417802
2021-02-13,12143,645.0,11395.0,103.0,0.53,8.799247402391407,0.07463744399623774,0.46738981919974115
2021-02-14,12194,996.0,11106.0,92.0,0.53,8.836203806700222,0.06666645483159099,0.7217368370898328
2021-02-15,11649,2070.0,9489.0,90.0,0.53,8.441277525360906,0.06521718407438248,1.4999952337107971
2021-02-16,9121,-2765.0,11805.0,81.0,0.53,6.609399288249363,0.05869546566694424,-2.003616821840751
2021-02-17,11610,-323.0,11833.0,100.0,0.53,8.41301674559534,0.07246353786042499,-0.23405722728917272
2021-02-18,12881,793.0,11987.0,101.0,0.53,9.334028311801342,0.07318817323902924,0.5746358552331702
2021-02-19,13193,2200.0,10896.0,97.0,0.53,9.560114549925869,0.07028963172461224,1.5941978329293498
2021-02-20,13993,3585.0,10307.0,101.0,0.53,10.139822852809269,0.07318817323902924,2.597817832296236
